Slum Name,Constituency,Ownership,Notification Number,Notification Date,,Age ,Location,State of Development,Status,Area,Huts,Population,Males,Females,SC,ST,Others
Ashoka Talkies,Jayamahal,BCC,Identified,,,,,,Undeclared,0.24,95,475,275,200,200,200,75
"Bhagalur Block, 85 Division",Jayamahal,BCC,Identified,,,,,,Undeclared,8.35,1183,6980,3447,3533,5667,261,1052
"Sweepers Colony, Tyanri Road",Jayamahal,BCC,Identified,,,,,,Undeclared,1.20,93,600,380,220,520,60,20
"Gandhi Grama, Bhor Tank Road",Jayamahal,BCC,Identified,,,,,,Undeclared,1.20,300,1500,900,600,1310,80,110
Sulthangunj,Jayamahal,BCC,Identified,,,,,,Undeclared,2.00,24,162,92,70,17,19,126
"Bore Tank,Division 85",Jayamahal,BCC,Identified,,,,,,Undeclared,2.10,256,1300,900,400,500,500,300
Opp. Ashoka Talkies,Jayamahal,BCC,Identified,,,,,,Undeclared,1.20,135,273,141,132,100,100,73
,,,,,,,,,,,,,,,,,
Pipeline,Malleshwaram,Pvt.,HUD/89/mcs/77,16-12-1979,,,,,Declared,0.10,80,560,310,250,392,48,120
Bairahanumaiah,Malleshwaram,Pvt.,KSA/CR/36/94-95,02-07-1996,,,,,Declared, 0-20,100,500,260,240,375,100,25
"Shariefnagar,Yeswanthpura",Malleshwaram,Pvt.,HUD/3/mcs/78,22-07-1978,,,,,Declared, 1-38,372,2081,1135,946,1033,453,595
Thannirhalli,Malleshwaram,Pvt.,KSA/CR/23/94-95,13-09-1995,,,,,Declared,1.04,185,1265,684,581,553,408,304
Thanneerhally II Stage,Malleshwaram,Pvt.,KSA/CR/  /2003-04,19-08-2004,,,,,Declared,0.23,48,205,105,100,50,50,105
Muneswar Nagar( Muthyalammanagar),Malleshwaram,Railway,KSA/CR/22/2007-08,24/12/2007,,,,,Declared,0.38,100,600,300,300,250,200,150
Bundappa  Huts,Malleshwaram,Govt.,HUD/255/MCS/83,28-10-1983,,,,,Declared, 1-24,125,715,412,303,471,118,126
Maharaja Mill(Valluvarpur),Malleshwaram,Pvt.,HMA/75/MCS/76,10-01-1977,,,,,Declared,0.28,283,1837,973,864,468,701,668
Ambedkar nagar  14 main,Malleshwaram,PVT.,,,,,,,Declared,0.14,46,250,150,100,100,100,50
K.N.Extension(Kamlanehru)_ Phase II,Malleshwaram,Pvt./ Govt.,KSA/CR-5/91-92,27-11-1992,,,,,Declared,0.18,88,560,310,250,390,48,122
Near H.A.Narayana Reddy House,Malleshwaram,Pvt.,Shifted to Laggere,1/1/90,,,,,Declared,0.05,0,0,0,0,0,0,0
Anjaneya Block Higher,Malleshwaram,Pvt.,KSA/CR-17/94-95,17-08-1994,,,,,Declared,4.19,215,1500,835,665,590,117,793
Karimundi,Malleshwaram,Pvt./ BDA,KSA/CR/6/87-88,15-07-1988,,,,,Declared,1.00,29,204,115,89,129,0,75
Anjaneya Block Lower,Malleshwaram,Pvt.,HMA/224/MCS/74,11-12-1974,,,,,Declared,2.10,122,684,393,291,298,260,126
Akkiyappa Garden,Malleshwaram,Pvt./ Rail,KSA/cr-2/94-95,17-01-1996,,,,,Declared, 1-30,343,1925,1049,876,919,452,554
Sanjaygandhi Harijan Sevasangha,Malleshwaram,Pvt.,KSA/CR-4/94-95,18-01-1996,,,,,Declared,0.3,96,606,378,228,252,234,120
"Sy.No.5, Dasarhalli, Chokkasandra",Malleshwaram,Govt.,KSA/CR/36/94-95,09-06-1997,,,,,Declared,1.10,230,1089,582,507,485,181,423
"Rudra Industries,Mathikere M.R.J.I Phase",Malleshwaram,Pvt.,KSA/CR-1/94-95,21-01-1996,,,,,Declared,0.26,125,687,392,295,358,179,150
Rudra Industries II Stage MRJ,Malleshwaram,Pvt.,HUD/26/mcs/82,31-05-1984,,,,,Declared,0.25,116,649,357,292,430,89,130
"Ravindranagar,Mallsandra",Malleshwaram,Board,KSA/CR/24/94-95,4/11/97,,,,,Declared,15.00,554,3025,1532,1493,1225,1050,750
Harijan Seva Sangh(Ambedkarnagar)Y.Purr,Malleshwaram,BDA,KSA/CR/5/94-95,16-01-1996,,,,,Declared,0.14,95,457,252,205,225,119,113
B.K.Nagar,Malleshwaram,Pvt.,HUD/116/MCS/86,04-12-1985,,,,,Declared, 1-32,455,2819,1494,1325,1291,1101,427
"K.N.Extension(Kamlanehru) 
Phase-I",Malleshwaram,Pvt/ BDA,HUD/208/MCS/88,09-02-1989,,,,,Declared,455sqm,48,250,125,125,0,0,250
Muneswar Block,Malleshwaram,Pvt.,HUD/161/MCS/80,12-04-1984,,,,,Declared,4.19,490,2500,1900,600,1000,1000,500
Sunnadagudu,Malleshwaram,Pvt.,HUD/11/MCS/2000,18-12-2000,,,,,Declared,0.35,156,865,483,382,282,183,400
Vyyalikaval Vidya Institute,Malleshwaram,BCC,Identified,,,,,,Undeclared,0.25,34,235,130,105,128,58,49
Vyyalikaval Farmecy,Malleshwaram,BCC,Identified,,,,,,Undeclared,0.20,42,285,159,126,39,87,159
Palace Guttahalli,Malleshwaram,BCC,Identified,,,,,,Undeclared,2.10,140,880,477,403,517,258,105
,,,,,,,,,,,,,,,,,
Behind Lavanya Talkies,Bharatinagar,Pvt.,HUD/205/MCS/80,03-05-1983,,,,,Declared,0.25,21,110,62,48,32,25,53
Chennappa lane,Bharatinagar,Pvt.,KSA/CR-5/89-90,07-09-1991,,,,,Declared,0.32,83,522,370,152,80,45,397
"Kadirappa, 9th Cross",Bharatinagar,Pvt.,KSA/CR-24/98-99,21-07-1999,,,,,Declared,0.05,29,150,75,75,0,0,150
Sarvajna Nagar,Bharatinagar,Pvt.,KSA/CR-24/94-95,21-07-1999,,,,,Declared,0.10,50,250,125,125,0,0,250
"Appanna garden, Doddigunta",Bharatinagar,Pvt.,KSA/CR-4/09-10,06-11-2009,,,,,Declared,0.20,56,282,160,122,0,0,282
"Gupta layout, Murphy Town",Bharatinagar,Pvt.,HMA/234/MCS/72,11-12-1974,,,,,Declared,0.28,32,243,135,108,111,98,34
"Kadirappa,Doddigunta",Bharatinagar,Pvt.,KSA/CR-28/91-92,03-05-2000,,,,,Declared,1.17,300,2150,1120,1030,1505,53,592
Kodandarampalya,Bharatinagar,Pvt.,HUD/376/mcs/76,01-12-1977,,,,,Declared,0.26,70,408,245,163,170,108,130
Chinnappa Garden,Bharatinagar,Pvt.,HMA/275/mcs/77,27-10-1977,,,,,Declared,0.17,94,597,376,221,162,56,379
Nagappa Garden,Bharatinagar,Pvt.,HMA/224/Mcs/74,11-12-1974,,,,,Declared,0.15,18,118,70,48,46,22,50
